Year,Temp
2023,7.19
2022,6.924
2021,6.528
2020,8.252
2019,7.243
2018,7.072
2017,6.261
2016,6.537
2015,7.697
2014,7.386
2013,7.166
2012,5.67
2011,6.917
2010,5.647
2009,6.222
2008,7.282
2007,6.97
2006,6.533
2005,5.5
2004,5.1
2003,5
2002,5
2001,5
2000,6.2
1999,5.5
1998,4.2
1997,4.6
1996,4.1
1995,5.4
1994,4.5
1993,4.1
1992,5.2
1991,5.3
1990,5.6
1989,6.7
1988,5.5
1987,2.3
1986,4.1
1985,2.8
1984,5.1
1983,5.4
1982,4.4
1981,4.5
1980,3.6
1979,4.1
